Episode,totalReward
0,61
1,-15
2,46
3,21
4,76
5,25
6,25
7,28
8,34
9,12
10,59
11,-56
12,33
13,63
14,43
15,-11
16,-9
17,4
18,29
19,34
20,-7
21,50
22,-19
23,-18
24,-53
25,40
26,-5
27,-7
28,15
29,34
30,25
31,36
32,13
33,12
34,31
35,30
36,30
37,-64
38,-13
39,-16
40,4
41,43
42,16
43,28
44,25
45,-28
46,18
47,0
48,-17
49,40
50,37
51,-3
52,12
53,0
54,-3
55,46
56,-28
57,10
58,54
59,-6
60,26
61,36
62,34
63,-12
64,26
65,38
66,-5
67,-11
68,-81
69,30
70,-14
71,43
72,82
73,55
74,9
75,25
76,47
77,25
78,-10
79,-6
80,-38
81,-4
82,-28
83,-1
84,7
85,30
86,51
87,70
88,-23
89,12
90,-1
91,-73
92,23
93,-13
94,-1
95,9
96,28
97,48
98,8
99,-31
100,-26
101,12
102,-6
103,-2
104,5
105,11
106,55
107,-41
108,-7
109,-20
110,47
111,-6
112,-4
113,-105
114,-2
115,48
116,121
117,-4
118,7
119,43
120,19
121,39
122,22
123,57
124,74
125,10
126,-31
127,-7
128,9
129,48
130,10
131,-58
132,-53
133,-10
134,54
135,68
136,-21
137,2
138,-11
139,3
140,-22
141,55
142,21
143,-1
144,-1
145,21
146,50
147,34
148,54
149,58
150,-50
151,-28
152,12
153,-27
154,60
155,-25
156,-9
157,-4
158,-27
159,7
160,11
161,44
162,35
163,69
164,49
165,-15
166,-33
167,5
168,-27
169,6
170,16
171,1
172,64
173,8
174,4
175,76
176,21
177,93
178,-17
179,9
180,-35
181,-17
182,64
183,3
184,56
185,-17
186,104
187,15
188,11
189,23
190,35
191,-48
192,9
193,-45
194,-44
195,-28
196,16
197,24
198,27
199,41
200,-48
201,28
202,66
203,16
204,48
205,-27
206,31
207,6
208,50
209,1
210,33
211,71
212,50
213,5
214,-67
215,-15
216,25
217,27
218,26
219,22
220,-1
221,-78
222,38
223,-9
224,-11
225,5
226,25
227,18
228,26
229,20
230,52
231,13
232,38
233,38
234,-42
235,-22
236,-18
237,-47
238,59
239,-12
240,25
241,41
242,-43
243,39
244,7
245,-15
246,32
247,68
248,-15
249,-48
250,-9
251,43
252,70
253,-3
254,-13
255,-11
256,30
257,30
258,32
259,29
260,35
261,35
262,49
263,11
264,48
265,58
266,-40
267,17
268,19
269,25
270,41
271,-30
272,31
273,44
274,0
275,45
276,-34
277,11
278,-44
279,-12
280,31
281,0
282,46
283,47
284,7
285,-26
286,64
287,-51
288,55
289,5
290,-27
291,-15
292,18
293,9
294,52
295,-5
296,48
297,61
298,82
299,19
300,14
301,3
302,-20
303,-3
304,-13
305,-54
306,85
307,-34
308,7
309,10
310,-12
311,-26
312,-17
313,16
314,31
315,121
316,52
317,-6
318,-18
319,61
320,24
321,3
322,10
323,-4
324,39
325,-55
326,63
327,44
328,2
329,58
330,-65
331,9
332,93
333,-31
334,34
335,31
336,10
337,32
338,17
339,-34
340,10
341,-19
342,62
343,13
344,20
345,-7
346,35
347,26
348,18
349,-52
350,-47
351,43
352,6
353,35
354,-25
355,14
356,33
357,-3
358,60
359,-24
360,46
361,51
362,-17
363,27
364,74
365,1
366,41
367,-136
368,108
369,43
370,65
371,-44
372,-71
373,36
374,-72
375,22
376,-107
377,-32
378,7
379,37
380,-9
381,5
382,18
383,-1
384,-7
385,-6
386,-33
387,29
388,34
389,10
390,3
391,34
392,19
393,6
394,31
395,11
396,70
397,47
398,-42
399,1
400,39
401,10
402,45
403,76
404,-16
405,25
406,11
407,32
408,-6
409,-54
410,-54
411,30
412,6
413,51
414,-42
415,-29
416,21
417,70
418,-50
419,11
420,33
421,6
422,32
423,-24
424,-24
425,28
426,30
427,-24
428,-32
429,91
430,-87
431,4
432,10
433,-8
434,15
435,-51
436,-122
437,35
438,88
439,23
440,50
441,25
442,47
443,57
444,21
445,51
446,-32
447,-31
448,23
449,-39
450,-37
451,-9
452,11
453,-1
454,5
455,31
456,33
457,22
458,-24
459,12
460,71
461,19
462,10
463,12
464,36
465,-54
466,-15
467,-3
468,-124
469,22
470,37
471,46
472,-103
473,-36
474,-12
475,-8
476,-17
477,23
478,-25
479,-31
480,-24
481,26
482,24
483,70
484,19
485,24
486,-36
487,50
488,15
489,-6
490,51
491,-26
492,39
493,-42
494,-12
495,0
496,-3
497,-27
498,36
499,-4
500,-3
501,75
502,-33
503,-8
504,-80
505,30
506,3
507,-2
508,47
509,73
510,30
511,83
512,25
513,13
514,37
515,29
516,-4
517,22
518,32
519,-4
520,-5
521,-42
522,70
523,-21
524,32
525,-59
526,11
527,24
528,-8
529,23
530,50
531,34
532,66
533,41
534,8
535,21
536,91
537,49
538,2
539,67
540,-26
541,-37
542,14
543,-36
544,2
545,18
546,-112
547,-33
548,-40
549,-13
550,40
551,38
552,28
553,12
554,-34
555,-21
556,40
557,14
558,76
559,13
560,9
561,14
562,23
563,-1
564,61
565,54
566,38
567,1
568,14
569,65
570,-1
571,-8
572,45
573,31
574,45
575,22
576,32
577,31
578,-44
579,7
580,62
581,-32
582,48
583,-48
584,-29
585,28
586,29
587,24
588,-9
589,35
590,-16
591,3
592,24
593,80
594,19
595,61
596,49
597,50
598,-27
599,-18
600,92
601,28
602,29
603,36
604,-1
605,-40
606,-28
607,-48
608,-9
609,-6
610,18
611,26
612,29
613,79
614,-36
615,36
616,7
617,21
618,-49
619,-86
620,111
621,-13
622,-7
623,13
624,18
625,46
626,22
627,16
628,-15
629,12
630,38
631,-45
632,57
633,-36
634,-19
635,44
636,34
637,12
638,1
639,-5
640,-40
641,14
642,93
643,-34
644,26
645,58
646,17
647,-6
648,25
649,4
650,60
651,24
652,-75
653,34
654,-15
655,50
656,-6
657,19
658,10
659,-68
660,17
661,1
662,6
663,29
664,29
665,15
666,4
667,-13
668,33
669,-55
670,31
671,10
672,-14
673,16
674,-4
675,53
676,44
677,-38
678,67
679,11
680,-4
681,-26
682,-28
683,35
684,29
685,38
686,-9
687,42
688,29
689,20
690,27
691,31
692,58
693,32
694,23
695,46
696,56
697,20
698,-10
699,-48
700,16
701,86
702,61
703,60
704,35
705,10
706,13
707,23
708,-14
709,22
710,59
711,6
712,-72
713,-4
714,-13
715,2
716,18
717,-12
718,-5
719,20
720,56
721,-27
722,67
723,14
724,-6
725,-5
726,-12
727,42
728,-32
729,-12
730,6
731,27
732,0
733,-56
734,33
735,2
736,42
737,31
738,-60
739,16
740,-19
741,38
742,58
743,7
744,-71
745,-5
746,-5
747,-25
748,43
749,49
750,-14
751,-57
752,70
753,21
754,-45
755,8
756,-16
757,28
758,-8
759,-16
760,-7
761,29
762,-25
763,-12
764,26
765,-42
766,-1
767,-34
768,49
769,30
770,69
771,-71
772,31
773,-11
774,-12
775,-8
776,7
777,30
778,13
779,19
780,44
781,30
782,54
783,-61
784,-28
785,11
786,24
787,-7
788,-20
789,4
790,39
791,-61
792,-26
793,-24
794,37
795,-32
796,34
797,8
798,-2
799,-23
800,6
801,13
802,72
803,-12
804,32
805,44
806,5
807,40
808,19
809,51
810,-7
811,-9
812,-3
813,-21
814,41
815,-45
816,-15
817,-33
818,9
819,-20
820,20
821,46
822,6
823,31
824,16
825,-52
826,38
827,0
828,-27
829,37
830,26
831,8
832,-4
833,49
834,12
835,73
836,13
837,-18
838,34
839,-38
840,-6
841,47
842,-6
843,46
844,24
845,-43
846,-7
847,-59
848,26
849,2
850,24
851,-28
852,23
853,10
854,10
855,5
856,-10
857,11
858,5
859,-64
860,19
861,30
862,44
863,53
864,9
865,15
866,2
867,7
868,-1
869,25
870,6
871,29
872,29
873,79
874,42
875,-17
876,-10
877,3
878,-7
879,80
880,-68
881,20
882,-16
883,7
884,-17
885,49
886,70
887,15
888,18
889,26
890,-14
891,-5
892,-3
893,-7
894,27
895,31
896,-19
897,32
898,37
899,-23
900,22
901,5
902,14
903,9
904,5
905,19
906,-49
907,48
908,-10
909,-15
910,84
911,-20
912,19
913,43
914,3
915,8
916,19
917,2
918,-24
919,14
920,-53
921,-3
922,-42
923,-26
924,11
925,-32
926,12
927,-15
928,-49
929,-8
930,58
931,36
932,10
933,6
934,-11
935,11
936,-86
937,41
938,1
939,39
940,7
941,19
942,2
943,-48
944,16
945,-13
946,25
947,-8
948,33
949,5
950,3
951,19
952,-37
953,12
954,-15
955,-31
956,48
957,-34
958,18
959,-46
960,19
961,32
962,-59
963,2
964,23
965,8
966,-7
967,38
968,19
969,55
970,-20
971,17
972,-35
973,60
974,-15
975,80
976,-28
977,3
978,34
979,-22
980,7
981,3
982,-25
983,-15
984,-1
985,46
986,-24
987,58
988,17
989,17
990,-8
991,13
992,32
993,-4
994,-68
995,17
996,39
997,-47
998,27
999,-4
